13745-the	GEO
13745-Nigerian	GEO
13745-June	TIME
13746-the	GEO
13746-World	PERSON
13746-Health	PERSON
13746-Organization	GEO
13746-of	GEO
13746-Nigeria	GEO
13746-Zamfara	EVENT
13746-the	GEO
13746-United	GEO
13746-States	GEO
13746-France	GEO
13747-Nigerian	GEO
13747-the	GEO
13748-WHO	PERSON
13748-the	GEO
13748-the	GEO
13749-of	GEO
13749-the	GEO
13749-the	GEO
13750-the	GEO
13750-of	GEO
13751-Sri	GEO
13751-Lanka	GEO
13751-Tamil	GEO
13751-Tiger	GEO
13751-of	GEO
13751-the	GEO
13751-the	GEO
13751-the	GEO
13752-Washington	GEO
13752-Post	PERSON
13752-Sri	GEO
13752-Lanka	GEO
13752-the	GEO
13752-Tigers	GEO
13752-of	GEO
13752-the	GEO
13752-the	GEO
13752-of	GEO
13752-Mullaittivu	EVENT
13752-of	GEO
13752-the	GEO
13753-Monday	TIME
13753-the	GEO
13753-Sri	GEO
13753-Lanka	GEO
13753-of	GEO
13753-the	GEO
13753-the	GEO
13754-Mullaittivu	EVENT
13755-1500	TIME
13755--	GEO
13756-Japan	GEO
13756-Afghanistan	GEO
13756-President	PERSON
13756-Hamid	PERSON
13756-Karzai	GEO
13756-Foreign	PERSON
13756-Minister	PERSON
13756-Rangin	PERSON
13756-Dadfar	PERSON
13756-Spanta	EVENT
13757-Masahiko	PERSON
13757-Komuri	PERSON
13757-Kabul	GEO
13757-Sunday	TIME
13757-Pakistan	GEO
13758-Afghan	GEO
13758-Mr.	PERSON
13758-Karzai	GEO
13758-Spanta	EVENT
13759-French	GEO
13759-Komura	PERSON
13759-Afghan	GEO
13759-Pakistan	GEO
13761-Japan	GEO
13761-Komuri	EVENT
13761-of	GEO
13761-of	GEO
13762-President	PERSON
13762-Karzai	GEO
13762-the	GEO
13762-of	GEO
13762-April	TIME
13763-Pakistan	GEO
13763-Saturday	TIME
13763-Komuri	PERSON
13763-President	PERSON
13763-Pervez	PERSON
13763-Musharraf	GEO
13763-Prime	PERSON
13763-Minister	PERSON
13763-Yousuf	PERSON
13763-Raza	PERSON
